title,rating,ratings_count,timestamp
Don'T Let The Forest In,4.22,3247,2024-11-23 15:46:51.753419
The Blue Hour,3.27,6294,2024-11-23 15:46:51.753419
The Bog Wife,3.65,2477,2024-11-23 15:46:51.753419
"Bloodguard (Old Erth, #1)",3.67,3018,2024-11-23 15:46:51.753419
Killer House Party,3.27,357,2024-11-23 15:46:51.753419
"Throne Of Secrets (Prince Of Sin, #2)",4.0,5995,2024-11-23 15:46:51.753419
The Mighty Red,3.92,5977,2024-11-23 15:46:51.753419
For She Is Wrath,3.92,1492,2024-11-23 15:46:51.753419
The Stone Witch Of Florence,3.68,1559,2024-11-23 15:46:51.753419
"Everyone This Christmas Has A Secret (Ernest Cunningham, #3)",3.88,4159,2024-11-23 15:46:51.753419
This Cursed House,3.69,1222,2024-11-23 15:46:51.753419
"The Grey Wolf (Chief Inspector Armand Gamache, #19)",4.33,13192,2024-11-23 15:46:51.753419
"Like Mother, Like Mother",3.93,1399,2024-11-23 15:46:51.753419
The City In Glass,3.86,1437,2024-11-23 15:46:51.753419
Model Home,3.88,1599,2024-11-23 15:46:51.753419
"Absolution (Southern Reach, #4)",3.74,1556,2024-11-23 15:46:51.753419
"Polostan (Bomb Light, #1)",3.98,1343,2024-11-23 15:46:51.753419
"A Grim Reaper'S Guide To Catching A Killer (S.C.Y.T.H.E. Mystery, #1)",3.89,1550,2024-11-23 15:46:51.753419
The Treasure Hunters Club,3.8,1091,2024-11-23 15:46:51.753419
Strange Beasts,4.04,732,2024-11-23 15:46:51.753419
This Motherless Land,4.32,1122,2024-11-23 15:46:51.753419
The Witches Of El Paso,3.59,737,2024-11-23 15:46:51.753419
Memorials,3.95,1386,2024-11-23 15:46:51.753419
The Wood At Midwinter,3.59,2692,2024-11-23 15:46:51.753419
Women'S Hotel,3.06,468,2024-11-23 15:46:51.753419
Our Evenings,4.08,944,2024-11-23 15:46:51.753419
The Specimen,4.14,342,2024-11-23 15:46:51.753419
Remember You Will Die,3.43,127,2024-11-23 15:46:51.753419
Libby Lost And Found,3.64,766,2024-11-23 15:46:51.753419
"Exposure (Rita Todacheene, #2)",3.99,598,2024-11-23 15:46:51.753419
"Zodiac Rising (Descendants Of The Zodiac, #1)",3.47,188,2024-11-23 15:46:51.753419
Feast While You Can,4.12,231,2024-11-23 15:46:51.753419
Metal From Heaven,4.12,299,2024-11-23 15:46:51.753419
The Last Dragon Of The East,3.92,517,2024-11-23 15:46:51.753419
"The Great When (The Long London Quintet, #1)",3.72,498,2024-11-23 15:46:51.753419
And The Sky Bled,3.75,225,2024-11-23 15:46:51.753419
"The Nightward (The Waters Of Lethe, #1)",3.83,106,2024-11-23 15:46:51.753419
The Book Of George,3.51,642,2024-11-23 15:46:51.753419
The Dividing Sky,4.41,304,2024-11-23 15:46:51.753419
Coup De Grâce,3.27,877,2024-11-23 15:46:51.753419
The Most Wonderful Time,3.48,127,2024-11-23 15:46:51.753419
The Undercurrent,3.68,291,2024-11-23 15:46:51.753419
Love You A Latke,3.91,755,2024-11-23 15:46:51.753419
Curdle Creek,3.04,192,2024-11-23 15:46:51.753419
The Secret War Of Julia Child,3.67,470,2024-11-23 15:46:51.753419
It Will Only Hurt For A Moment,3.66,330,2024-11-23 15:46:51.753419
The Black Hunger,3.77,275,2024-11-23 15:46:51.753419
Sixteen Minutes,4.03,78,2024-11-23 15:46:51.753419
How To Fall In Love In A Time Of Unnameable Disaster,3.74,89,2024-11-23 15:46:51.753419
The Ancients,3.91,182,2024-11-23 15:46:51.753419
The Dark Becomes Her,4.07,187,2024-11-23 15:46:51.753419
Karla'S Choice,4.27,877,2024-11-23 15:46:51.753419
Don'T Be A Stranger,3.36,185,2024-11-23 15:46:51.753419
The Last Dangerous Visions,4.0,113,2024-11-23 15:46:51.753419
Christmas At Spruce Hill Farm,3.96,124,2024-11-23 15:46:51.753419
Where The Dead Brides Gather,3.87,87,2024-11-23 15:46:51.753419
"The Great Library Of Tomorrow (The Book Of Wisdom Trilogy, #1)",3.95,41,2024-11-23 15:46:51.753419
The Many Mothers Of Ivy Puddingstone,4.39,84,2024-11-23 15:46:51.753419
Tea With Elephants,4.45,295,2024-11-23 15:46:51.753419
"Love After Midnight (Winter Santiaga, #3)",3.07,199,2024-11-23 15:46:51.753419
Puppy Love At Mistletoe Junction,4.06,52,2024-11-23 15:46:51.753419
Shoestring Theory,4.17,211,2024-11-23 15:46:51.753419
My Three Dogs,4.52,211,2024-11-23 15:46:51.753419
"The Anti-Social Season (First Responders, #2)",3.48,121,2024-11-23 15:46:51.753419
Dogs And Monsters: Stories,3.6,262,2024-11-23 15:46:51.753419
Long Time Gone,3.77,91,2024-11-23 15:46:51.753419
Gliff,4.15,296,2024-11-23 15:46:51.753419
Till The Last Beat Of My Heart,4.02,96,2024-11-23 15:46:51.753419
The Scholar And The Last Faerie Door,4.34,500,2024-11-23 15:46:51.753419
If You'Re Not The One,3.91,70,2024-11-23 15:46:51.753419
"Exiled By Iron (The Tainted Blood Duology, #2)",4.0,37,2024-11-23 15:46:51.753419
The Judgment Of Yoyo Gold,4.36,119,2024-11-23 15:46:51.753419
Good Dogs,4.01,123,2024-11-23 15:46:51.753419
Lonely Places,4.1,70,2024-11-23 15:46:51.753419
Eight Nights To Win Her Heart,3.97,59,2024-11-23 15:46:51.753419
"Gingerbread Danger (An Amish Candy Shop Mystery, #9)",4.46,253,2024-11-23 15:46:51.753419
They Watch From Below,4.0,74,2024-11-23 15:46:51.753419
The Sound Of A Thousand Stars,3.82,83,2024-11-23 15:46:51.753419
Masquerade,3.46,52,2024-11-23 15:46:51.753419
Juice,4.09,963,2024-11-23 15:46:51.753419
"Frozen Lives (The Coroner'S Daughter Mysteries, #4)",4.33,153,2024-11-23 15:46:51.753419
Three Things About Emmy Crawford,3.85,53,2024-11-23 15:46:51.753419
The Forbidden Book,3.7,93,2024-11-23 15:46:51.753419
"The Mountain Crown (The Crowns Of Ishia, #1)",3.88,74,2024-11-23 15:46:51.753419
Noodle & Bao,4.26,128,2024-11-23 15:46:51.753419
Dark Space,3.69,124,2024-11-23 15:46:51.753419
Prince Of Glass & Midnight (Princes #3),4.17,190,2024-11-23 15:46:51.753419
"Sargassa (Ex Romana, #1)",4.14,65,2024-11-23 15:46:51.753419
The Only Sound Is The Wind: Stories,4.0,19,2024-11-23 15:46:51.753419
The Shape Of Lost Things,4.27,41,2024-11-23 15:46:51.753419
"Usurpation (Semiosis, #3)",3.81,136,2024-11-23 15:46:51.753419
Giddy Barber Explodes In 11,4.11,35,2024-11-23 15:46:51.753419
Stronger At The Seams,4.41,66,2024-11-23 15:46:51.753419
